Arrondissement;Date_debut;Date_fin;Type_travaux;latitude;longitude;nb_arbres;tps_par_arbre
2;29/01/2024;09/02/2024;Plantation;48.87038958371392;2.3492049551855563;1;10
2;29/01/2024;09/02/2024;Plantation;48.870841568234596;2.346906468677124;1;10
3;29/01/2024;09/02/2024;Abattage;48.86301374952781;2.3532941821683244;1;35
3;29/01/2024;09/02/2024;Abattage;48.863389732248116;2.351635368676808;1;35
4;29/01/2024;09/02/2024;Abattage;48.850177610014384;2.362221268676224;2;35
4;29/01/2024;09/02/2024;Abattage;48.86072089820776;2.3574608975128144;1;35
4;29/01/2024;09/02/2024;Abattage;48.855332399446915;2.3468436685948504;3;35
4;29/01/2024;09/02/2024;Abattage;48.84973243067013;2.365467826348509;1;35
4;29/01/2024;09/02/2024;Abattage;48.85339297529395;2.3483921972524695;1;35
4;29/01/2024;09/02/2024;Abattage;48.861995069198635;2.3509525416936534;2;35
4;29/01/2024;09/02/2024;Abattage;48.8638620468959;2.3215563551852845;1;35
4;04/02/2024;04/02/2024;Taille R;48.86398950647846;2.350643201587269;1;20
4;29/01/2024;09/02/2024;Elagage;48.88639277698187;2.3737270705308724;134;20
4;29/01/2024;09/02/2024;Abattage;48.88639277698187;2.3737270705308724;134;35
4;29/01/2024;09/02/2024;Plantation;48.851472886652346;2.3580687263485727;1;10
6;29/01/2024;09/02/2024;Plantation;48.85208398518758;2.34262185518478;1;10
6;29/01/2024;09/02/2024;Plantation;48.853779597001946;2.343495997512539;1;10
7;29/01/2024;09/02/2024;Plantation;48.87525437633353;2.3618511566694824;1;10
7;29/01/2024;09/02/2024;Taille R;48.85539689152882;2.295755597512587;19;20
7;29/01/2024;09/02/2024;Taille R;48.85480637498937;2.2967706975125717;19;20
7;29/01/2024;09/02/2024;Taille R;48.856585751437414;2.2981758686765072;106;20
7;29/01/2024;09/02/2024;Taille PR;48.855832907748294;2.298398055184942;1819;20
8;29/01/2024;09/02/2024;Plantation;48.87393384593876;2.3254962263495824;2;10
8;29/01/2024;09/02/2024;Taille R;48.875187329800504;2.3140765686773324;169;20
8;29/01/2024;09/02/2024;Taille R;48.875187329800504;2.3140765686773324;169;20
8;29/01/2024;09/02/2024;Plantation;48.87067962574319;2.3127771398409758;3;10
8;29/01/2024;09/02/2024;Plantation;48.8667438488811;2.309905783942983;1;10
8;29/01/2024;09/02/2024;Plantation;48.868651017408624;2.323764497513194;1;10
8;29/01/2024;09/02/2024;Plantation;48.86852674709111;2.316481941693936;1;10
8;29/01/2024;09/02/2024;Plantation;48.868122759770365;2.3609294551072306;2;10
8;29/01/2024;09/02/2024;Plantation;48.870116141711435;2.324943941694002;2;10
8;29/01/2024;09/02/2024;Plantation;48.87442634021343;2.3030984551091622;1;10
8;29/01/2024;09/02/2024;Plantation;48.87085401119447;2.323358511004838;2;10
8;29/01/2024;09/02/2024;Plantation;48.874302814500666;2.294515568677276;2;10
8;29/01/2024;09/02/2024;Plantation;48.87308719152135;2.2978525975133692;2;10
8;29/01/2024;09/02/2024;Plantation;48.8701486966826;2.3268982839440473;1;10
8;29/01/2024;09/02/2024;Plantation;48.88370382789213;2.3265831747650956;2;10
9;29/01/2024;09/02/2024;Plantation;48.883335586469926;2.3446118975138175;1;10
9;29/01/2024;09/02/2024;Plantation;48.87190840822028;2.337737626349485;2;10
10;29/01/2024;09/02/2024;Taille R;48.8762700959164;2.356264884021961;579;20
10;29/01/2024;09/02/2024;Plantation;48.8762700959164;2.356264884021961;3;10
11;29/01/2024;09/02/2024;Abattage;48.86518905838837;2.3758587110045846;1;35
11;29/01/2024;09/02/2024;Abattage;48.86502681198346;2.3748872551853006;1;35
11;29/01/2024;09/02/2024;Abattage;48.85360462784592;2.3927013975125204;1;35
11;29/01/2024;09/02/2024;Abattage;48.85407595851519;2.3961620821679275;1;35
11;29/01/2024;09/02/2024;Abattage;48.863297274440846;2.387000897512937;1;35
11;29/01/2024;09/02/2024;Abattage;48.861710362111985;2.3670648821682905;1;35
11;29/01/2024;09/02/2024;Abattage;48.86018415830629;2.371956584021279;1;35
11;29/01/2024;09/02/2024;Abattage;48.85797558280206;2.3800942128573084;4;35
11;29/01/2024;09/02/2024;Abattage;48.86634360403362;2.3718245660537294;1;35
11;29/01/2024;09/02/2024;Abattage;48.85727204301406;2.3789676669372435;1;35
11;29/01/2024;09/02/2024;Abattage;48.86348864391832;2.3670858816970637;1;35
11;29/01/2024;09/02/2024;Abattage;48.8599631077653;2.3704138263489565;1;35
11;29/01/2024;09/02/2024;Taille R;48.86018415830629;2.371956584021279;740;20
11;29/01/2024;09/02/2024;Plantation;48.854860889213825;2.377036871284987;1;10
11;29/01/2024;09/02/2024;Plantation;48.86742284696629;2.374420012779363;1;10
11;29/01/2024;09/02/2024;Plantation;48.85384829975673;2.376811055184852;1;10
11;29/01/2024;09/02/2024;Plantation;48.86740453590497;2.3778348975131385;1;10
11;29/01/2024;09/02/2024;Plantation;48.86809191726322;2.377567641693901;1;10
12;29/01/2024;09/02/2024;Abattage;48.866723295606455;2.349255939840779;1;35
12;29/01/2024;09/02/2024;Abattage;48.83430581425942;2.4072461551839863;1;35
12;29/01/2024;09/02/2024;Abattage;48.8395790222205;2.39467285518422;3;35
12;29/01/2024;09/02/2024;Abattage;48.83627549434694;2.38675516867562;1;35
12;29/01/2024;09/02/2024;Abattage;48.830480050437956;2.386801470528406;4;35
12;29/01/2024;09/02/2024;Taille R;48.8433333888073;2.3853789398397613;279;20
12;29/01/2024;09/02/2024;Abattage;48.86018415830629;2.371956584021279;1;35
